#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

EVTTITLE91241;The Price of Decadence;Le prix de la décadence;Der Preis der Dekadenz;;El precio de decadencia;;;;;;;;;x

EVTDESC91000;The excesses of the [Root.GetOnlyDynastyName] Dynasty have gone too far. A dynamic warrior clan has taken up arms and is riding to purify the realm of our decadence!;Les excès de la dynastie [Root.GetOnlyDynastyName] sont allés trop loin. Un clan guerrier a pris les armes dans l'espoir de purifier le pays et de mettre un terme à notre décadence !;Die Ausschweifungen der [Root.GetOnlyDynastyName]-Dynastie sind völlig ausgeufert. Ein Kriegsklan hat zu den Waffen gegriffen und reitet heran, um das Reich von Eurer Dekadenz zu befreien!;;Los excesos de la Dinastía [Root.GetOnlyDynastyName] han ido demasiado lejos. ¡Un dinámico clan de guerreros ha tomado las armas y cabalga para purificar el reino de nuestra decadencia!;;;;;;;;;x
EVTDESC91200;Alcoholic beverages are considered haraam in the Islamic faith - forbidden. This, however, has not stopped you from consuming copious amounts of wine and getting plastered on a regular basis.;Les boissons alcoolisées sont interdites par la religion islamique. Cependant, cela ne vous empêche pas d'ingurgiter de grandes quantités de vin et de vous saouler régulièrement.;Alkoholische Getränke werden im islamischen Glauben als Haraam angesehen - als verboten. Das hat Euch jedoch nicht daran gehindert, riesen Mengen an Wein zu konsumieren und regelmäßig betrunken zu werden. ;;Las bebidas alcohólicas están consideradas haram en la fe islámica: prohibidas. Sin embargo, ello no te ha impedido consumir cantidades ingentes de vino y emborracharte con frecuencia.;;;;;;;;;x
EVTDESC91201;Your attraction to those of your same sex is frowned upon by the rest of society, but there are times when you simply grow tired of keeping up appearances. The people do not look kindly on this.;L'attrait que vous ressentez pour les personnes du même sexe n'est pas toléré par la société, mais il vous arrive parfois d'en avoir marre de feindre la normalité. Les gens considèrent votre attitude d'un mauvais oeil.;Eure Anziehungskraft auf das eigene Geschlecht ist bei der restlichen Gesellschaft verpönt, doch es gibt Momente, in denen Ihr es einfach leid seid, Euren äußeren Schein hochzuhalten. Die Menschen sehen das nicht gerade gerne. ;;El resto de la sociedad no aprueba la atracción que sientes por los de tu mismo sexo, pero en ocasiones te cansas de guardar las apariencias. La gente no lo ve con buenos ojos.;;;;;;;;;x
EVTDESC91202;Some visiting imams walk in on you as your servants are busily smearing your body with honey, covering you from top to bottom. For some reason they react in horror at this sight.;Des Imams en visite vous surprennent alors que des servantes sont occupées à recouvrir votre corps de miel. Pour une raison qui leur appartient, les imams réagissent très mal à la vue de ce spectacle.;Einige Imame, die zu Besuch sind, platzen bei Euch herein, während Eure Bediensteten damit beschäftigt sind, Euren Körper von Kopf bis Fuß mit Honig einzuschmieren. Aus irgendeinem Grund reagieren sie entsetzt auf diesen Anblick.;;Algunos imanes te visitan mientras tus sirvientes están embadurnando tu cuerpo con miel, desde la cabeza hasta los pies. Por alguna razón, verte así les horroriza.;;;;;;;;;x
EVTDESC91203;It is becoming increasingly difficult to conceal your secret vice - impaling your enemies on wooden stakes and listening to their cries of despair. Concerns have been raised about how appropriate this behavior is for someone of your station.;Il devient de plus en plus difficile de dissimuler votre vice secret, consistant à empaler vos ennemis sur des pics en bois et les écouter hurler de douleur durant des heures. Cette attitude ne semble pas vraiment appropriée à une personne de votre rang.;Es wird immer schwieriger, Euer geheimes Laster zu verheimlichen - Eure Feinde auf Holzpfählen aufzuspießen und ihren Verzweiflungsschreien zu lauschen. Die Besorgnis verstärkt sich, ob dieses Verhalten für jemanden in Eurer Situation angemessen ist.;;Cada vez es más difícil ocultar tu vicio secreto: empalar a tus enemigos con estacas de madera y escuchar sus gritos de desesperación. Han surgido dudas acerca de lo apropiado de esta conducta para alguien de tu nivel.;;;;;;;;;x
EVTDESC91204;Why should you settle for one woman, or two, or a dozen? The carnal pleasures of the flesh beckon, and let no man say you are undeserving!;Pourquoi vous faudrait-il vous contenter d'une femme, ou deux ou même dix ? Les plaisirs de la chair vous attirent, vous n'êtes qu'un homme après tout !;Warum solltet Ihr Euch auf eine Frau festlegen, oder zwei, oder ein Dutzend? Die sexuellen Genüsse des Fleisches locken, und es soll kein Mann sagen, dass Ihr unwürdig seid! ;;¿Por qué deberías conformarte con una mujer, o dos, o una docena? Los placeres carnales me llaman. ¡No dejes que ningún hombre diga que no eres de merecer!;;;;;;;;;x
EVTDESC91205;Your enormous appetite cannot be sated. As the poor of your realm starve, your servants bring delicacies from the most distant lands to your table. A 'light lunch' for you would be enough to feed a peasant family for a week or two.;Votre appétit d'ogre n'est jamais contenté. Alors que les indigents de votre Royaume meurent de faim, vos serviteurs inondent la table de délicatesses venues de pays lointains. Ce que vous appelez un 'déjeuner léger' pourrait nourrir une famille de petites gens pendant une semaine ou deux.;Euer enormer Appetit kann nicht gesättigt werden. Während die Armen in Eurem Reich hungern, bringen Euch Eure Bediensteten Delikatessen aus den entferntesten Ländern auf den Tisch. Ein "leichtes Mittagessen" für Euch wäre ausreichend, um eine Bauernfamilie für ein oder zwei Wochen zu ernähren.;;Tu enorme apetito no puede saciarse. Mientras los pobres de tus dominios perecen, tus sirvientes traen exquisiteces de las tierras más remotas a tu mesa. Uno de tus 'desayunos ligeros' sería suficiente para alimentar a una familia de campesinos durante una semana o dos.;;;;;;;;;x
EVTDESC91206;You have been doing your best to suck the people of [Root.Location.GetName] dry of what few possessions they have. No matter how much of their wealth is channeled your way, you always want more. The lifestyle you have grown accustomed to is an expensive one indeed.;Vous avez mis toute votre énergie à délester le peuple de [Root.Location.GetName] de ses rares possessions. Quelle que soit la quantité de richesses qui arrive dans vos poches, il vous en faut toujours plus. Le train de vie auquel on vous a habitué depuis le plus jeune âge est des plus fastes.;Ihr habt Euer Bestes getan, um den Menschen von [Root.Location.GetName] auch die letzten Besitztümer auszusaugen, die sie besitzen. Egal wie viel ihres Reichtums zu Euch geleitet wird, Ihr wollt immer mehr. Euer Lebenswandel, an den Ihr Euch gewöhnt habt, ist wahrlich ein sehr teurer. ;;Has hecho todo lo posible para despojar a los habitantes de [Root.Location.GetName] de las pocas posesiones que tienen. No importa cuántos de sus bienes te concedan, tú siempre quieres más. El estilo de vida al que te has acostumbrado es realmente caro.;;;;;;;;;x
EVTDESC91207;The truly enlightened ruler must conserve all energy for the act of ruling itself. It is for this reason that you have expanded your staff of servants tenfold. Tedious activities such as walking, bringing food to your mouth or the wiping of your regal behind are a thing of the past for you.;Un Seigneur éclairé doit consacrer toute son énergie à gouverner. C'est pour cette raison que vous avez décuplé votre équipe de serviteurs. Des activités fastidieuses telles que marcher, porter de la nourriture à votre bouche ou essuyez votre royal postérieur sont désormais de l'histoire ancienne.;Der aufrichtig aufgeklärte Herrscher muss die gesamte Energie für das Herrschen an sich aufsparen. Genau aus diesem Grund habt Ihr Euren Mitarbeiterstab verzehnfacht. Langweilige Aktivitäten, wie gehen, Essen zu Eurem Mund führen oder das Abstauben von dem Regal hinter Euch, sind für Euch Dinge, die Eurer Vergangenheit angehören.;;Un gobernador realmente iluminado debe conservar toda su energía para dedicarse a gobernar. Por esta razón, has multiplicado tu número de sirvientes por diez. Las actividades tediosas, como caminar, llevarte la comida a la boca o limpiarte tu trasero real, son para ti algo del pasado.;;;;;;;;;x
