#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ANY_OPINION_TARGET_STARTS;Any Opinion Target;A une opinion sur;Meinung Ziel;;Cualquier opinión objetivo;;;;;;;;;x
ARMY_LEVIES_DESC;The total amount of levies in the realm.;Nombre total de troupes que vous pouvez lever.;Die Gesamtzahl der Lehnstruppen im Reich.;;Cantidad total de levas en el reino;;;;;;;;;x
BUILDING_CHECKSUM;Building Checksum...;Création de l'empreinte...;Prüfsumme berechnen...;;Creando suma de verificación;;;;;;;;;x
CANCEL_FOCUS;Cancel Focus;Annuler l'intérêt;Fokus abbrechen;;Cancelar enfoque;;;;;;;;;x
CANCEL_FOCUS_EFFECT;$CHAR$ loses the §Y$OBJECTIVE$§! focus;$CHAR$ perd son intérêt pour §Y$OBJECTIVE$§!.;$CHAR$ verliert den Fokus §Y$OBJECTIVE$§!;;$CHAR$ pierde el enfoque §Y$OBJECTIVE$§!;;;;;;;;;x
CANCEL_PLOT;Cancel Plot;Annuler le complot;Verschwörung abbrechen;;Cancelar complot;;;;;;;;;x
CANNOT_CANCEL_CURRENT_FOCUS;Your current focus cannot be cancelled.;Votre intérêt actuel ne peut pas être annulé.;Euer aktueller Fokus kann nicht abgebrochen werden.;;Tu enfoque actual no puede ser cancelado.;;;;;;;;;x
CANNOT_CANCEL_FOCUS;This focus cannot be cancelled.;Cet intérêt ne peut pas être annulé.;Dieser Fokus kann nicht abgebrochen werden;;Este foco no se puede cancelar.;;;;;;;;;x
CANNOT_CANCEL_PLOT;This plot cannot be cancelled.;Ce complot ne peut pas être annulé.;Diese Verschwörung kann nicht abgebrochen werden.;;Este complot no se puede cancelar.;;;;;;;;;x
CHARVIEW_DIPLOMATIC_RELATIONS;§YDiplomacy§!;§YDiplomatie§!;§YDiplomatie§!;;§YDiplomacia§!;;;;;;;;;x
CHOOSE_FOCUS;§GClick to Choose a Focus§!;§GChoisir un intérêt§!;Fokus per Klick wählen;;Haz clic para elegir un foco;;;;;;;;;x
CHOOSE_NEW_FOCUS;§GClick to Choose a new Focus§!;Cliquez pour choisir un nouvel intérêt;Neuen Fokus per Klick wählen;;Haz clic para elegir un nuevo Enfoque;;;;;;;;;x
CONFIRM_CANCEL_FOCUS_DESC;Abandon the $PLOT$ focus?;Abandonner votre intérêt pour $PLOT$ ?;Soll der Fokus $PLOT$ wirklich aufgegeben werden?;;¿Abandonar el enfoque de $PLOT$?;;;;;;;;;x
CONFIRM_CANCEL_FOCUS_TITLE;Abandon Focus;Abandonner l'intérêt;Fokus aufgeben;;Abandonar enfoque;;;;;;;;;x
