#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

EVTDESC61000;My position as regent to [This.Liege.GetTitledFirstName] means that I have access to the treasury. I think I deserve a raise...;En tant que régent[Root.Get_E] [This.Liege.Get_du_TitledFirstName], j'ai accès au trésor. Je crois que je mérite une augmentation...;Meine Position als Regent von [This.Liege.GetTitledFirstName] bedeutet, dass ich Zugang zur Schatzkammer habe. Ich glaube, ich habe eine Gehaltserhöhung verdient ...;;Mi puesto como regente de [This.Liege.GetTitledFirstName] me permite acceder al tesoro. Creo que merezco un aumento...;;;;;;;;;x
EVTDESC61001;Money has been disappearing from the treasury. I suspect my regent, [From.GetTitledFirstName]...;De l'argent a disparu du trésor. Je soupçonne m[From.GetOnA] régent[From.Get_E], [From.Get_le_TitledFirstName]...;Aus der Schatzkammer wurde Geld gestohlen. Ich verdächtige meinen Regenten, [From.GetTitledFirstName] ...;;Falta dinero del tesoro. Sospecho de mi regente, [From.GetTitledFirstName]...;;;;;;;;;x
EVTDESC61002;Money has been disappearing from the coffers of my liege, [This.Liege.GetTitledFirstName]. I suspect the regent, [From.GetTitledFirstName]...;De l'argent a disparu des coffres de m[This.Liege.GetOnA] [This.Liege.GetLordLady] lige, [This.Liege.Get_le_TitledFirstName]. Nous soupçonnons s[From.GetOnA] régent[From.Get_E], [From.Get_le_TitledFirstName]...;Aus der Schatzkammer meines Lehnsherrn [This.Liege.GetTitledFirstName] wurde Geld gestohlen. Ich verdächtige den Regenten, [From.GetTitledFirstName] ...;;Falta dinero de las arcas de mi señor, [This.Liege.GetTitledFirstName]. Sospecho del regente, [From.GetTitledFirstName]...;;;;;;;;;x
EVTDESC61003;I have indisputable proof that my regent, [From.GetTitledFirstName] is embezzling money from the treasury!;Nous avons la preuve incontestable que notre régent, [From.Get_le_TitledFirstName], a détourné des fonds du trésor !;Ich habe eindeutige Beweise, dass mein Regent, [From.GetTitledFirstName], Geld aus der Schatzkammer veruntreut!;;¡Tengo pruebas irrefutables de que mi regente, [From.GetTitledFirstName] está malversando dinero del tesoro!;;;;;;;;;x
EVTDESC61004;My investigations have unearthed proof that the regent of [This.Liege.PrimaryTitle.GetName], [From.GetTitledFirstName], has been embezzling money!;Nos investigations ont révélé que [From.GetLeLa] régent[From.Get_E] [This.Liege.PrimaryTitle.Get_du_Realm], [From.Get_le_TitledFirstName], a détourné des fonds !;Meine Nachforschungen haben ergeben, dass der Regent von [This.Liege.PrimaryTitle.GetName], [From.GetTitledFirstName], Geld veruntreut hat!;;¡Mis investigaciones han descubierto pruebas de que el regente de [This.Liege.PrimaryTitle.GetName], [From.GetTitledFirstName], ha malversado dinero!;;;;;;;;;x
EVTDESC61100;As the regent of [Root.Liege.GetTitledFirstName], my duty is to safeguard the realm. I feel that one of [Root.Liege.GetHerHis] holdings would flourish much more under my direct supervision.;Mon devoir en tant que régent [Root.Liege.Get_du_TitledFirstName] est de protéger le Royaume. J'estime qu'une de ses propriétés prospérerait bien mieux sous ma supervision directe.;Als Regent von [Root.Liege.GetTitledFirstName] ist es meine Aufgabe, das Reich zu schützen. Ich habe das Gefühl, dass eines [Root.Liege.GetHerHis]er Besitztümer unter meiner direkten Aufsicht noch mehr aufblühen würde.;;Como regente de [Root.Liege.GetTitledFirstName], mi deber es proteger el reino. Creo que una de [Root.Liege.GetHerHis] posesiones prosperaría mucho más bajo mi supervisión directa.;;;;;;;;;x
EVTDESC61101;[Root.Regent.GetTitledName], your regent, has decided in [Root.Regent.GetHerHis] infinite wisdom that one of your titles would benefit the realm more if it was awarded directly to [Root.Regent.GetHerHim].;[Root.Regent.Get_Le_TitledName], votre régent[Root.Regent.Get_E], a décidé dans son infinie sagesse qu'un de vos titres serait plus bénéfique au pays s'il était en sa possession.;[Root.Regent.GetTitledName], Euer Regent, hat in [Root.Regent.GetHerHis]er grenzenlosen Weisheit entschieden, dass einer Eurer Titel dem Reich mehr bringen würde, wenn dieser direkt an [Root.Regent.GetHerHim] übergehen würde.;;[Root.Regent.GetTitledName], su regente, ha decidido en [Root.Regent.GetHerHis] sabiduría infinita que uno de sus títulos beneficiaría más al reino si lo adjudicara directamente a [Root.Regent.GetHerHim].;;;;;;;;;x
EVTDESC61105;The poor of the realm have suffered terribly under the rule of [Root.Liege.GetTitledFirstName]. As [Root.Liege.GetHerHis] regent, I am in a position to give something back to the people.;Les pauvres du Royaume ont beaucoup souffert sous le règne [Root.Liege.Get_du_TitledFirstName]. En tant que son régent, je suis en mesure de rendre quelque chose au peuple.;Die Armen des Reiches haben unter der Herrschaft von [Root.Liege.GetTitledFirstName] fürchterlich gelitten. Als [Root.Liege.GetHerHis] Regent bin ich in der Position, den Leuten etwas zurückzugeben.;;Los pobres del reino han sufrido terriblemente bajo el gobierno de [Root.Liege.GetTitledFirstName]. Como [Root.Liege.GetHerHis] regente, estoy en condiciones de devolver algo a la gente.;;;;;;;;;x
EVTDESC61106;[Root.Regent.GetTitledName], your regent, seems to have given in to [Root.Regent.GetHerHis] charitable nature and has been donating alms to the poor from your coffers. Worst of all, [Root.Regent.GetSheHe] has been doing it in your name!;[Root.Regent.Get_Le_TitledName], votre régent[Root.Regent.Get_E], semble avoir cédé à sa nature charitable en se servant dans vos coffres pour faire l'aumône aux pauvres. Et qui plus est, [Root.Liege.Get_le_TitledFirstName] a fait cela en votre nom !;[Root.Regent.GetTitledName], Euer Regent, scheint [Root.Regent.GetHerHis]er wohltätigen Natur nachgegeben zu haben, und hat, aus Euren Truhen, Almosen an die Armen verteilt. Das Schlimmste von allem ist, dass [Root.Regent.GetSheHe] es in meinem Namen getan hat!;;[Root.Regent.GetTitledName], su regente, parece haber cedido a [Root.Regent.GetHerHis] naturaleza caritativa y ha sido donado limosnas de sus arcas a los pobres.¡Lo peor de todo, [Root.Regent.GetSheHe] lo ha estado haciendo en tu nombre!;;;;;;;;;x
EVTDESC61110;The administration of your realm has improved significantly since [Root.Regent.GetTitledFirstName] became your regent. If only you had [Root.Regent.GetHerHis] skills!;L'administration du Royaume s'est notablement améliorée depuis que [Root.Regent.Get_le_TitledFirstName] est devenu[Root.Regent.Get_E] votre régent[Root.Regent.Get_E]. Si seulement vous aviez ses compétences !;Die Verwaltung Eures Reiches hat sich stark verbessert, seitdem [Root.Regent.GetTitledFirstName] Euer Regent wurde. Wenn Ihr doch nur [Root.Regent.GetHerHis]e Fertigkeiten hättet!;;La administración de tu reino ha mejorado significativamente desde que [Root.Regent.GetTitledFirstName] se convirtió en el regente. ¡Si sólo tuvieras [Root.Regent.GetHerHis] habilidades!;;;;;;;;;x
