#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

tooltip_feudal_elector_vote_commander_martial;[From.GetFirstName] is a brilliant §YGeneral§!;[From.GetFirstName] est un brillant §Ygénéral§!;[From.GetFirstName] ist ein ausgezeichneter §YGeneral§!;;[From.GetFirstName] es un[From.GetXA] §Ygeneral§! brillante;;;;;;x
tooltip_feudal_elector_vote_councilor_diplomacy;[From.GetFirstName] is a good orator;[From.GetFirstName] est un[From.Get_E] bo[From.GetNNne] orat[From.GetEurRice];[From.GetFirstName] ist ein guter Redner;;[From.GetFirstName] es buen[From.GetXA] orador[From.GetXA];;;;;;x
tooltip_feudal_elector_vote_councilor_intrigue;[From.GetFirstName] is a cunning politician with high §YIntrigue§!;[From.GetFirstName] est un[From.Get_E] politicie[From.GetNNne] rusé[From.Get_E] avec une compétence élevée en §Yintrigue§!;[From.GetFirstName] ist ein listiger Politiker mit hoher §YIntrige§!;;[From.GetFirstName] es un[From.GetXA] polític[From.GetOA] astut[From.GetOA] con mucha §Yintriga§!;;;;;;x

tooltip_feudal_elector_anti_vote_ruler_lunatic;I do not trust the judgment of a §YLunatic§! ruler;Je ne fais pas confiance au jugement d'un[From.Get_E] dirigeant[From.Get_E] §Ylunatique§!;Ich traue dem Urteil eines §Ywahnsinnigen§! Herrschers nicht;;No confío en el juicio de un gobernante §Ylunático§!;;;;;;;;;x
tooltip_feudal_elector_anti_vote_ruler_opinion_negative;I do not trust the judgment of a ruler I dislike;Je ne fais pas confiance au jugement d'un[From.Get_E] dirigeant[From.Get_E] que je déteste;Ich traue dem Urteil eines Herrschers, den ich nicht mag, nicht;;No confío en el juicio de un gobernante que no me gusta;;;;;;;;;x
tooltip_feudal_elector_anti_vote_ruler_possessed;I do not trust the judgment of a §YPossessed§! ruler;Je ne fais pas confiance au jugement d'un[From.Get_E] dirigeant[From.Get_E] §Ypossédé[From.Get_E]§!;Ich traue dem Urteil eines §Ybesessenen§! Herrschers nicht;;No confío en el juicio de un gobernante §Yposeído§!;;;;;;;;;x
tooltip_feudal_elector_anti_vote_ruler_tyrant;I will not support the Candidate of a §YTyrant§!;Je ne soutiendrai pas le candidat d'un[From.Get_E] §Ytyra[From.GetNNne]§!;Ich werde den Kandidaten eines §YTyrannen§! nicht unterstützen;;No apoyaré al candidato de un §Ytirano§!;;;;;;;;;x
tooltip_feudal_elector_pro_vote_ruler_just;I trust the judgment of a §YJust§! ruler;Je fais confiance à un[From.Get_E] dirigeant[From.Get_E] ayant le §Ysens de la justice§!;Ich traue dem Urteil eines §Ygerechten§! Herrschers;;Confío en el juicio de un gobernante §Yjusto§!;;;;;;;;;x
tooltip_feudal_elector_pro_vote_ruler_opinion_positive;I trust the judgment of a ruler I like;Je fais confiance au jugement d'un[From.Get_E] dirigeant[From.Get_E] que j'apprécie;Ich traue dem Urteil eines Herrschers, den ich mag;;Confío en el juicio de un gobernante que me gusta;;;;;;;;;x
tooltip_feudal_elector_vote_adventurer_negative;[From.GetSheHeCap] is an opportunistic §YAdventurer§!;C'est un[From.Get_E] §Yaventuri[From.GetErEre]§! opportuniste;[From.GetSheHeCap] ist ein opportunistischer §YAbenteurer§!;;Es un[From.GetXA] §Yaventurer[From.GetOA]§! oportunista;;;;;;;;;x
tooltip_feudal_elector_vote_adventurer_positive;[From.GetSheHeCap] is a daring §YAdventurer§!;C'est un[From.Get_E] §Yaventuri[From.GetErEre]§! audacieu[From.GetXSe];[From.GetSheHeCap] ist ein wagemutiger §YAbenteurer§!;;Es un[From.GetXA] §Yaventurer[From.GetOA]§! osado;;;;;;;;;x
tooltip_feudal_elector_vote_agnatic_woman;Concerns about realm stability;S'inquiète de la stabilité du pays;Bedenken über die Stabilität des Reiches;;Preocupaciones sobre la estabilidad de territorio;;;;;;;;;x
tooltip_feudal_elector_vote_ambitious_negative;[From.GetSheHeCap] is §YAmbitious§!;[From.GetIlElleCap] est §Yambitieu[From.GetXSe]§!;[From.GetSheHeCap] ist §Yambitioniert§!;;Es §Yambicios[From.GetOA]§!;;;;;;;;;x
